swenson_name,SPCD,GENUS,SPECIES,VARIETY,SUBSPECIES,trait.genus,trait.species,sp_in,sp_out,species_name,Height,Seed,Density,Nitrogen,Height_source,Height_indicator,Seed_source,Seed_indicator,Density.source,Density_indicator,Nitrogen_source,Nitrogen_indicator,NOTES
sorbus_americana,935,Sorbus,americana,,,sorbus,americana,935,935,Sorbus americana,12.192,2.834952313,0.544,2.6,USDA 2011,0,USDA 2011,0,2,1,26,0,
acer_saccharinum,317,Acer,saccharinum,,,acer,saccharinum,317,317,Acer saccharinum,27.432,281.7343913,0.44,2.6,USDA 2011,0,USDA 2011,0,1,0,19,0,
juglans_cinerea,601,Juglans,cinerea,,,juglans,cinerea,601,601,Juglans cinerea,24.384,15119.74567,0.36,2.6,USDA 2011,0,USDA 2011,0,1,0,29,0,
castanea_mollissima,424,Castanea,mollissima,,,castanea,mollissima,424,424,NA,15.24,6047.898267,0.593229,2.59,USDA 2012,0,USDA 2012,0,2,1,30,1,
castanea_pumila,422,Castanea,pumila,,,castanea,pumila,422,422,Castanea pumila,15,1814.37,0.5887,2.588,FNA 2004,0,Swenson and Weiser 2010,1,2,1,30,1,
castanea_dentata,421,Castanea,dentata,,,castanea,dentata,421,421,Castanea dentata,35.052,4535.9237,0.4,2.586,USDA 2011,0,USDA 2011,0,1,0,29,0,
prunus_spp.,760,Prunus,spp.,,,prunus,spp.,760,760,Prunus,14.2296,495.6105468,0.452155952,2.502714286,derived,2,derived,2,derived,2,derived,2,
prunus_alleghaniensis,769,Prunus,alleghaniensis,,,prunus,alleghaniensis,769,769,NA,14.2296,153.78,0.452155952,2.502714286,derived,2,Royal Botanical Gardens Kew 2008,0,derived,2,derived,2,
ulmus_rubra,975,Ulmus,rubra,,,ulmus,rubra,975,975,Ulmus rubra,25.908,11.06322854,0.48,2.5,USDA 2011,0,USDA 2011,0,1,0,29,0,
salix_amygdaloides,921,Salix,amygdaloides,,,salix,amygdaloides,921,921,NA,18.288,0.174458604,0.44,2.5,USDA 2011,0,USDA 2011,0,2,1,30,1,
acer_negundo,313,Acer,negundo,,,acer,negundo,313,313,Acer negundo,18.288,39.92890581,0.416,2.5,USDA 2011,0,USDA 2011,0,1,0,29,0,
salix_nigra,922,Salix,nigra,,,salix,nigra,922,922,Salix nigra,30.48,0.181436948,0.36,2.5,USDA 2011,0,USDA 2011,0,1,0,29,0,
populus_grandidentata,743,Populus,grandidentata,,,populus,grandidentata,743,743,NA,19.812,0.151197457,0.36,2.5,USDA 2011,0,USDA 2011,0,1,0,29,0,
acer_spicatum,319,Acer,spicatum,,,acer,spicatum,319,319,Acer spicatum,7.62,19.9644529,0.44,2.49,USDA 2011,0,USDA 2011,0,2,1,26,0,
fraxinus_quadrangulata,546,Fraxinus,quadrangulata,,,fraxinus,quadrangulata,546,546,NA,24.38,71.4,0.6,2.46,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
sideroxylon_salicifolium,891,Sideroxylon,salicifolium,,,sideroxylon,salicifolium,891,891,NA,15,79.557,0.805,2.44,derived,2,derived,2,derived,2,derived,2,
sideroxylon_lanuginosum,381,Sideroxylon,lanuginosum,,lanuginosum,sideroxylon,lanuginosum,381,381,Sideroxylon lanuginosum ssp lanuginosum,15,79.557,0.805,2.44,FNA 2004,0,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
populus_heterophylla,744,Populus,heterophylla,,,populus,heterophylla,744,744,Populus heterophylla,30.48,2.984160329,0.4089,2.403,USDA 2011,0,USDA 2011,0,2,1,29,0,
laguncularia_racemosa,988,Laguncularia,racemosa,,,laguncularia,racemosa,988,988,NA,15.24,280,0.6,2.4,USDA 2011,0,Swenson and Weiser 2010,1,2,1,30,1,
prunus_pensylvanica,761,Prunus,pensylvanica,,,prunus,pensylvanica,761,761,Prunus pensylvanica,9.144,31.94312465,0.36,2.4,USDA 2011,0,USDA 2011,0,1,0,29,0,
celtis_occidentalis,462,Celtis,occidentalis,,,celtis,occidentalis,462,462,Celtis occidentalis,18.288,10.54865977,0.49,2.39,USDA 2011,0,USDA 2011,0,1,0,29,0,
celtis_spp.,460,Celtis,spp.,,,celtis,spp.,460,460,Celtis,21.336,108.3635049,0.48,2.39,derived,2,derived,2,derived,2,derived,2,
celtis_laevigata,461,Celtis,laevigata,,,celtis,laevigata,461,461,Celtis laevigata,24.384,206.17835,0.47,2.39,USDA 2011,0,USDA 2011,0,1,0,30,1,
quercus_macrocarpa,823,Quercus,macrocarpa,,,quercus,macrocarpa,823,823,NA,30.48,6047.898267,0.58,2.36,USDA 2011,0,USDA 2011,0,1,0,29,0,
populus_deltoides,742,Populus,deltoides,,,populus,deltoides,742,742,Populus deltoides,57.912,1.067276165,0.37,2.36,USDA 2011,0,USDA 2011,0,1,0,20,0,
albizia_julibrissin,345,Albizia,julibrissin,,,albizia,julibrissin,345,345,Albizia julibrissin,6.096,41.23567,0.545,2.35,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_palustris,830,Quercus,palustris,,,quercus,palustris,830,830,Quercus palustris,30.48,1106.322854,0.58,2.33,USDA 2011,0,USDA 2011,0,1,0,16,0,
morus_rubra,682,Morus,rubra,,,morus,rubra,682,682,Morus rubra,21.336,1.316030749,0.5898,2.31,USDA 2011,0,USDA 2011,0,2,1,20,0,
ulmus_thomasii,977,Ulmus,thomasii,,,ulmus,thomasii,977,977,NA,27.432,64.79891,0.66,2.3,USDA 2011,0,USDA 2011,0,2,1,30,1,
fagus_grandifolia,531,Fagus,grandifolia,,,fagus,grandifolia,531,531,Fagus grandifolia,24.384,283.4952313,0.56,2.3,USDA 2011,0,USDA 2011,0,1,0,14,0,
magnolia_fraseri,655,Magnolia,fraseri,,,magnolia,fraseri,655,655,Magnolia fraseri,22.86,99.69063077,0.4,2.29,USDA 2011,0,USDA 2011,0,1,0,29,0,
betula_nigra,373,Betula,nigra,,,betula,nigra,373,373,Betula nigra,21.336,1.211518082,0.49,2.28,USDA 2011,0,USDA 2011,0,1,0,29,0,
juniperus_spp.,57,Juniperus,spp.,,,juniperus,spp.,57,57,Juniperus,11.9632,63.29238664,0.5375,2.246,derived,2,derived,2,derived,2,derived,2,
carya_ovalis,412,Carya,ovalis,,,carya,ovalis,412,412,Carya ovalis,46.63,3502.186,0.75,2.2,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
ostrya_virginiana,701,Ostrya,virginiana,,,ostrya,virginiana,701,701,Ostrya virginiana,13.716,15.11974567,0.63,2.2,USDA 2011,0,USDA 2011,0,1,0,29,0,
quercus_alba,802,Quercus,alba,,,quercus,alba,802,802,Quercus alba,30.48,3543.690391,0.6,2.2,USDA 2011,0,USDA 2011,0,1,0,29,0,
betula_alleghaniensis,371,Betula,alleghaniensis,,,betula,alleghaniensis,371,371,Betula alleghaniensis,22.86,1.01611194,0.55,2.2,USDA 2011,0,USDA 2011,0,1,0,14,0,
betula_papyrifera,375,Betula,papyrifera,,,betula,papyrifera,375,375,NA,10.97,0.328499689,0.48,2.2,USDA 2011,0,USDA 2011,0,1,0,29,0,
populus_nigra,753,Populus,nigra,,,populus,nigra,753,753,NA,57.912,1.146714286,0.43,2.2,USDA 2011,0,Swenson and Weiser 2010,1,2,1,30,1,
carya_texana,408,Carya,texana,,,carya,texana,408,408,NA,41,3502.186,0.702839506,2.185,FNA 2004,0,Swenson and Weiser 2010,1,2,1,derived,2,
ulmus_spp.,970,Ulmus,spp.,,,ulmus,spp.,970,970,Ulmus,25.6902857143,14.7321125513,0.5681479714,2.1728571429,derived,2,derived,2,derived,2,derived,2,
morus_nigra,684,Morus,nigra,,,morus,nigra,684,684,NA,18.288,3.4,0.5894,2.17,derived,2,Royal Botanical Gardens Kew 2008,0,derived,2,derived,2,
morus_spp.,680,Morus,spp.,,,morus,spp.,680,680,Morus,18.288,2.215403682,0.5894,2.17,derived,2,derived,2,derived,2,derived,2,
ulmus_crassifolia,973,Ulmus,crassifolia,,,ulmus,crassifolia,973,973,NA,27.432,6.770035373,0.64,2.15,USDA 2011,0,USDA 2011,0,3,0,30,1,
ulmus_serotina,976,Ulmus,serotina,,,ulmus,serotina,976,976,NA,21.336,3.044244094,0.5870358,2.15,USDA 2011,0,USDA 2011,0,2,1,30,1,
aesculus_flava,332,Aesculus,flava,,,aesculus,flava,332,332,Aesculus flava,19.812,16199.7275,0.346983,2.14,USDA 2011,0,USDA 2011,0,1,0,30,1,
liriodendron_tulipifera,621,Liriodendron,tulipifera,,,liriodendron,tulipifera,621,621,Liriodendron tulipifera,36.576,32.399455,0.4,2.13,USDA 2011,0,USDA 2011,0,1,0,29,0,
fraxinus_spp.,540,Fraxinus,spp.,,,fraxinus,spp.,540,540,Fraxinus,24.07853333,69.29470821,0.513333333,2.115,derived,2,derived,2,derived,2,derived,2,
fraxinus_profunda,545,Fraxinus,profunda,,,fraxinus,profunda,545,545,Fraxinus profunda,36.576,141.7476156,0.48,2.115,USDA 2011,0,USDA 2011,0,1,0,30,1,
fraxinus_caroliniana,548,Fraxinus,caroliniana,,,fraxinus,caroliniana,548,548,Fraxinus caroliniana,11.8872,78.96803099,0.47,2.115,USDA 2011,0,USDA 2011,0,2,1,30,1,
carya_aquatica,401,Carya,aquatica,,,carya,aquatica,401,401,Carya aquatica,25.908,2267.96185,0.61,2.11,USDA 2011,0,USDA 2011,0,1,0,30,1,
aesculus_spp.,330,Aesculus,spp.,,,aesculus,spp.,330,330,NA,16.0528,11173.37553,0.3609915,2.11,derived,2,derived,2,derived,2,derived,2,
aesculus_pavia,336,Aesculus,pavia,,,aesculus,pavia,336,336,NA,7.62,9499.841,0.3609915,2.11,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,derived,2,derived,2,
quercus_ellipsoidalis,809,Quercus,ellipsoidalis,,,quercus,ellipsoidalis,809,809,NA,20,1557.93,0.56,2.1,FNA 2004,0,Royal Botanical Gardens Kew 2008,0,2,1,20,0,
acer_barbatum,311,Acer,barbatum,,,acer,barbatum,311,311,Acer floridanum,15.24,64.79891,0.56,2.1,USDA 2011,0,USDA 2011,0,2,1,30,1,
fraxinus_americana,541,Fraxinus,americana,,,fraxinus,americana,541,541,Fraxinus americana,27.432,45.359237,0.55,2.1,USDA 2011,0,USDA 2011,0,1,0,29,0,
prunus_persica,764,Prunus,persica,,,prunus,persica,764,764,NA,10,2792,0.541091667,2.1,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
fraxinus_nigra,543,Fraxinus,nigra,,,fraxinus,nigra,543,543,NA,19.812,46.61792086,0.45,2.1,USDA 2011,0,USDA 2011,0,1,0,29,0,
betula_spp.,370,Betula,spp.,,,betula,spp.,370,370,Betula sp,16.2148,0.672972448,0.514,2.094,derived,2,derived,2,derived,2,derived,2,
aesculus_glabra,331,Aesculus,glabra,,,aesculus,glabra,331,331,NA,20.7264,7820.558103,0.375,2.08,USDA 2011,0,USDA 2011,0,2,1,16,0,
platanus_occidentalis,731,Platanus,occidentalis,,,platanus,occidentalis,731,731,Platanus occidentalis,30.48,2.36246026,0.46,2.07,USDA 2011,0,USDA 2011,0,1,0,16,0,
ulmus_pumila,974,Ulmus,pumila,,,ulmus,pumila,974,974,NA,21.336,6.982641164,0.55,2.06,USDA 2011,0,USDA 2011,0,1,0,30,1,
acer_spp.,310,Acer,spp.,,,acer,spp.,310,310,Acer,19.26344,82.39738745,0.51245,2.0595,derived,2,derived,2,derived,2,derived,2,
carya_illinoinensis,404,Carya,illinoinensis,,,carya,illinoinensis,404,404,NA,36.576,3489.172077,0.6,2.05,USDA 2011,0,USDA 2011,0,1,0,26,0,
ulmus_alata,971,Ulmus,alata,,,ulmus,alata,971,971,Ulmus alata,19.812,4.068093004,0.6,2.05,USDA 2011,0,USDA 2011,0,1,0,30,1,
betula_lenta,372,Betula,lenta,,,betula,lenta,372,372,Betula lenta,18.288,0.702155372,0.6,2.05,USDA 2011,0,USDA 2011,0,1,0,26,0,
carya_spp.,400,Carya,spp.,,,carya,spp.,400,400,Carya,31.436,4761.227872,0.662782922,2.048,derived,2,derived,2,derived,2,derived,2,
magnolia_macrophylla,654,Magnolia,macrophylla,,,magnolia,macrophylla,654,654,Magnolia macrophylla,32,167.8,0.45,2.04,FNA 2004,0,Royal Botanical Gardens Kew 2008,0,2,1,16,0,
morus_alba,681,Morus,alba,,,morus,alba,681,681,Morus alba,15.24,1.930180298,0.589,2.03,USDA 2011,0,USDA 2011,0,1,0,29,0,
carya_alba,409,Carya,alba,,,carya,alba,409,409,Carya alba,25.908,6213.59411,0.78,2.01,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_muehlenbergii,826,Quercus,muehlenbergii,,,quercus,muehlenbergii,826,826,Quercus muehlenbergii,21.336,1133.980925,0.66,2.01,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_rubra,833,Quercus,rubra,,,quercus,rubra,833,833,Quercus rubra,24.6888,3628.73896,0.56,2.01,USDA 2011,0,USDA 2011,0,1,0,29,0,
larix_spp.,70,Larix,spp.,,,larix,spp.,70,70,NA,24.384,1.550133691,0.49,2.01,derived,2,derived,2,derived,2,derived,2,
larix_laricina,71,Larix,laricina,,,larix,laricina,71,71,NA,24.384,1.550133691,0.49,2.01,USDA 2011,0,USDA 2011,0,1,0,26,0,
ficus_aurea,876,Ficus,aurea,,,ficus,aurea,876,876,NA,18.288,0.39,0.44,2.01,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
syzygium_cumini,896,Syzygium,cumini,,,syzygium,cumini,896,896,NA,18.288,113.3980925,0.67,2.009,USDA 2011,0,USDA 2011,0,1,1,29,0,
carpinus_caroliniana,391,Carpinus,caroliniana,,,carpinus,caroliniana,391,391,Carpinus caroliniana,9.144,12.959782,0.58,2,USDA 2011,0,USDA 2011,0,1,0,29,0,
ulmus_americana,972,Ulmus,americana,,,ulmus,americana,972,972,Ulmus americana,36.576,6.397635684,0.46,2,USDA 2011,0,USDA 2011,0,1,0,29,0,
salix_caroliniana,925,Salix,caroliniana,,,salix,caroliniana,925,925,Salix caroliniana,10.0584,0.054649683,0.4,1.99,USDA 2011,0,USDA 2011,0,2,1,30,1,
salix_spp.,920,Salix,spp.,,,salix,spp.,920,920,NA,18.034,0.138424206,0.354688333,1.99,derived,2,derived,2,derived,2,derived,2,
salix_pyrifolia,926,Salix,pyrifolia,,,salix,pyrifolia,926,926,NA,18.034,0.138424206,0.354688333,1.99,derived,2,derived,2,derived,2,derived,2,
maclura_pomifera,641,Maclura,pomifera,,,maclura,pomifera,641,641,NA,10.668,64.79891,0.76,1.98,USDA 2011,0,USDA 2011,0,1,0,30,1,
carya_carolinae_septentrionalis,413,Carya,carolinae-septentrionalis,,,carya,carolinae_septentrionalis,413,413,Carya carolinae-septentrionalis,42.67,4401.2,0.73,1.98,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
carya_ovata,407,Carya,ovata,,,carya,ovata,407,407,Carya ovata,22.86,4724.920521,0.64,1.98,USDA 2011,0,USDA 2011,0,1,0,29,0,
halesia_diptera,582,Halesia,diptera,,,halesia,diptera,582,582,NA,4.572,302.3949133,0.42,1.98,USDA 2011,0,USDA 2011,0,2,1,30,1,
halesia_spp.,580,Halesia,spp.,,,halesia,spp.,580,580,NA,6.858,292.9450723,0.42,1.98,derived,2,derived,2,derived,2,derived,2,
halesia_carolina,581,Halesia,carolina,,,halesia,carolina,581,581,Halesia carolina,9.144,283.4952313,0.42,1.98,USDA 2011,0,USDA 2011,0,1,0,30,1,
gymnocladus_dioicus,571,Gymnocladus,dioicus,,,gymnocladus,dioicus,571,571,NA,30.48,1972.140739,0.6984,1.97,USDA 2011,0,USDA 2011,0,2,1,30,1,
carya_laciniosa,405,Carya,laciniosa,,,carya,laciniosa,405,405,Carya laciniosa,30.48,15119.74567,0.62,1.961,USDA 2011,0,USDA 2011,0,1,0,30,1,
carya_myristiciformis,406,Carya,myristiciformis,,,carya,myristiciformis,406,406,Carya myristiciformis,28.956,3658.002984,0.56,1.96,USDA 2011,0,USDA 2011,0,1,0,30,1,
populus_tremuloides,746,Populus,tremuloides,,,populus,tremuloides,746,746,NA,19.812,0.139652823,0.35,1.94,USDA 2011,0,USDA 2011,0,1,0,29,0,
cercis_canadensis,471,Cercis,canadensis,,,cercis,canadensis,471,471,Cercis canadensis,9.144,25.19957611,0.65,1.92,USDA 2011,0,USDA 2011,0,1,0,27,0,
vernicia_fordii,995,Vernicia,fordii,,,vernicia,fordii,995,995,NA,10,1136,0.34,1.92,Swenson and Weiser 2010,1,Swenson and Weiser 2010,1,2,1,30,1,
populus_spp.,740,Populus,spp.,,,populus,spp.,740,740,NA,34.39885714,3.207625133,0.340195353,1.914125,derived,2,derived,2,derived,2,derived,2,
quercus_imbricaria,817,Quercus,imbricaria,,,quercus,imbricaria,817,817,Quercus imbricaria,13.716,1092.993663,0.69,1.9,USDA 2011,0,USDA 2011,0,2,1,30,1,
quercus_phellos,831,Quercus,phellos,,,quercus,phellos,831,831,Quercus phellos,30.48,981.8016667,0.56,1.9,USDA 2011,0,USDA 2011,0,1,0,30,1,
ginko_biloba,561,Ginkgo,biloba,,,ginko,biloba,561,561,NA,24.384,1522,0.458052,1.9,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
acer_pensylvanicum,315,Acer,pensylvanicum,,,acer,pensylvanicum,315,315,Acer pensylvanicum,10.668,39.92890581,0.44,1.9,USDA 2011,0,USDA 2011,0,1,0,29,0,
sassafras_albidum,931,Sassafras,albidum,,,sassafras,albidum,931,931,Sassafras albidum,22.86,90.718474,0.42,1.9,USDA 2011,0,USDA 2011,0,1,0,6,0,
aesculus_sylvatica,337,Aesculus,sylvatica,,,aesculus,sylvatica,337,337,Aesculus sylvatica,19.812,11339.80925,0.3922415,1.9,USDA 2011,0,USDA 2011,0,2,1,8,0,
populus_balsamifera,741,Populus,balsamifera,,,populus,balsamifera,741,741,NA,24.384,0.24,0.31,1.9,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,1,0,29,0,
magnolia_tripetala,658,Magnolia,tripetala,,,magnolia,tripetala,658,658,Magnolia tripetala,9.144,263.16,0.4487,1.89,USDA 2011,0,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
carya_pallida,410,Carya,pallida,,,carya,pallida,410,410,Carya pallida,29,5080.16,0.700555556,1.88,FNA 2004,0,Swenson and Weiser 2010,1,2,1,30,1,
cotinus_obovatus,996,Cotinus,obovatus,,,cotinus,obovatus,996,996,NA,9.144,8.95,0.559425392,1.866,Swenson and Weiser 2010,1,Royal Botanical Gardens Kew 2008,0,2,1,30,1,
