lat,lon,genus,species,count
28.048713,-81.042076,Sabal,palmetto,10
28.049693,-98.314272,Condalia,hookeri,3
28.052835,-80.604278,Sabal,palmetto,1
28.08305,-81.879662,Quercus,laurifolia,1
28.08305,-81.879662,Salix,nigra,1
28.08305,-81.879662,Triadica,sebifera,5
28.119299,-81.190813,Taxodium,distichum,12
28.119299,-81.190813,Persea,borbonia,1
28.119299,-81.190813,Salix,caroliniana,1
28.129524,-82.439015,Cinnamomum,camphora,5
28.133933,-81.433907,Taxodium,distichum,4
28.133933,-81.433907,Fraxinus,profunda,21
28.133933,-81.433907,Nyssa,biflora,3
28.133933,-81.433907,Quercus,laurifolia,1
28.161467,-97.133734,Prosopis,glandulosa,14
28.173594,-99.154092,Prosopis,glandulosa,25
28.184398,-98.082749,Acacia,farnesiana,1
28.195223,-99.563025,Prosopis,glandulosa,4
28.195223,-99.563025,Condalia,hookeri,7
28.198759,-97.394354,Acacia,farnesiana,6
28.199384,-80.997853,Taxodium,ascendens,4
28.216769,-81.975987,Taxodium,ascendens,14
28.216769,-81.975987,Gordonia,lasianthus,10
28.2262,-82.1236,Taxodium,ascendens,1
28.2262,-82.1236,Fraxinus,profunda,4
28.2262,-82.1236,Ostrya,virginiana,8
28.2262,-82.1236,Sabal,palmetto,63
28.236702,-82.380349,Taxodium,ascendens,19
28.236702,-82.380349,Magnolia,virginiana,4
28.236702,-82.380349,Sabal,palmetto,1
28.250328,-99.6807,Prosopis,glandulosa,20
28.266112,-97.520125,Acacia,farnesiana,1
28.305271,-97.783547,Diospyros,texana,6
28.305271,-97.783547,Quercus,virginiana,24
28.305271,-97.783547,Condalia,hookeri,14
28.319784,-97.095806,Acacia,farnesiana,1
28.339108,-96.96431,Acacia,farnesiana,2
28.339108,-96.96431,Celtis,laevigata,26
28.358445,-81.062835,Gordonia,lasianthus,1
28.378492,-81.326914,Salix,caroliniana,5
28.378626,-81.916924,Taxodium,ascendens,93
28.378626,-81.916924,Nyssa,biflora,3
28.381874,-81.634295,Pinus,elliottii,10
28.381874,-81.634295,Gordonia,lasianthus,13
28.388152,-81.475328,Pinus,serotina,5
28.394719,-97.629822,Acacia,farnesiana,1
28.394719,-97.629822,Sideroxylon,lanuginosum,1
28.394719,-97.629822,Celtis,laevigata,14
28.394719,-97.629822,Diospyros,texana,1
28.394719,-97.629822,Quercus,virginiana,18
28.394719,-97.629822,Condalia,hookeri,5
28.410709,-99.656162,Diospyros,texana,8
28.410709,-99.656162,Condalia,hookeri,1
28.414978,-82.635043,Pinus,palustris,11
28.414978,-82.635043,Quercus,minima,6
28.414978,-82.635043,Quercus,incana,1
28.431109,-80.603669,Quercus,minima,28
28.431109,-80.603669,Sabal,palmetto,3
